Column_Number,Column_Name,Data_Type
1,date,str
2,serial_number,str
3,model,str
4,capacity_bytes,int64
5,failure,int64
6,smart_5_normalized,float64
7,smart_5_raw,float64
8,smart_9_normalized,float64
9,smart_9_raw,float64
10,smart_90_normalized,float64
11,smart_90_raw,float64
12,smart_187_normalized,float64
13,smart_187_raw,float64
14,smart_188_normalized,float64
15,smart_188_raw,float64
16,smart_197_normalized,float64
17,smart_197_raw,float64
18,smart_198_normalized,float64
19,smart_198_raw,float64
