Feature,Count,Mean,Std_Dev,Minimum,25%,50%,75%,Maximum
capacity_bytes,30943146.0,15650875884635.46,,240057409536.0,14000519643136.0,16000900661248.0,20000588955648.0,26000658268160.0
failure,30943146.0,3.406247057102727e-05,0.005836206937720479,0.0,0.0,0.0,0.0,1.0
smart_5_normalized,30734429.0,100.00203683627895,2.9012276903302214,1.0,100.0,100.0,100.0,252.0
smart_5_raw,30734429.0,53.94698437377834,1277.2244037472287,0.0,0.0,0.0,0.0,65528.0
smart_9_normalized,30903290.0,63.15041414684327,34.95968182597177,1.0,37.0,76.0,98.0,100.0
smart_9_raw,30903290.0,31146.532549026335,18926.566300530612,0.0,13627.0,28002.0,42432.75,113246.0
smart_90_normalized,4224514.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
smart_90_raw,4224514.0,512500399820.241,1102893185266.2676,98784247808.0,493921239040.0,519691042816.0,536870912000.0,281470681744896.0
smart_187_normalized,10267176.0,99.00501345257936,8.08423106671841,1.0,100.0,100.0,100.0,100.0
smart_187_raw,10267176.0,7.273350627280569,506.0860791298573,0.0,0.0,0.0,0.0,65535.0
smart_188_normalized,10240022.0,99.99845019864215,0.3627430006419661,1.0,100.0,100.0,100.0,100.0
smart_188_raw,10240022.0,1300677513.0654964,24695360147.24615,0.0,0.0,0.0,0.0,2860492129820.0
smart_197_normalized,30167940.0,100.04828178523293,2.565479442054823,1.0,100.0,100.0,100.0,252.0
smart_197_raw,30167940.0,4.715522372425827,723.3368904724184,0.0,0.0,0.0,0.0,461760.0
smart_198_normalized,30705419.0,100.00498739326761,2.406945065765401,1.0,100.0,100.0,100.0,252.0
smart_198_raw,30705419.0,3.430095417359392,712.9596596042402,0.0,0.0,0.0,0.0,461760.0
