Feature,Correlation
smart_188_raw,0.11775066550228594
smart_187_normalized,-0.03669891907061935
smart_187_raw,0.0054351693020473915
smart_9_raw,0.0019002467426625681
smart_9_normalized,-0.001211458630110056
capacity_bytes,-0.0011703388023956082
smart_5_raw,0.0006379737947103414
smart_197_normalized,-4.10921407068268e-05
smart_197_raw,-1.4905439633546187e-05
smart_198_raw,-1.0301018386275358e-05
smart_188_normalized,9.80564162058717e-06
smart_5_normalized,-4.2782012744760335e-06
smart_198_normalized,5.176299259741414e-07
smart_90_normalized,
smart_90_raw,
